Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1.20005e-06   	6.366688e+02	3.183202e+02	3.183486e+02	1.563864e+03	2.428446e+02	1.321020e+03	-5.390875e+02	-1.423994e-02	6.093719e-03	1.262686e-02	1.240715e-02	2.197104e-04
2.56825e-06   	-3.367899e+02	-1.683963e+02	-1.683936e+02	-8.266777e+02	-1.284855e+02	-6.981922e+02	2.848534e+02	-1.366863e-03	-1.149877e-02	-5.229084e-02	-3.764419e-02	-1.464664e-02
3.88821e-06   	1.199040e+00	6.020797e-01	5.969605e-01	2.873147e+00	3.671330e-01	2.506014e+00	-1.069440e+00	2.559609e-03	1.923065e-03	1.190029e-02	7.873210e-03	4.027080e-03
5.35328e-06   	7.479880e-01	3.751850e-01	3.728029e-01	1.620138e+00	2.131932e-01	1.406945e+00	-5.968760e-01	1.191051e-03	1.091437e-03	5.774067e-03	3.978470e-03	1.795596e-03
6.82308e-06   	6.759280e-01	3.384412e-01	3.374868e-01	1.486209e+00	1.982842e-01	1.287925e+00	-5.448202e-01	4.772391e-04	5.548982e-04	2.671932e-03	1.890864e-03	7.810679e-04
8.30355e-06   	6.289169e-01	3.146030e-01	3.143139e-01	1.404066e+00	1.946577e-01	1.209408e+00	-5.073752e-01	1.445555e-04	3.025953e-04	1.251337e-03	9.282640e-04	3.230734e-04
9.79041e-06   	6.096340e-01	3.049054e-01	3.047286e-01	1.383148e+00	1.973600e-01	1.185788e+00	-4.942138e-01	8.839829e-05	1.775533e-04	7.508700e-04	5.529883e-04	1.978817e-04
1.12857e-05   	5.805338e-01	2.903486e-01	2.901851e-01	1.334349e+00	1.943478e-01	1.140002e+00	-4.728269e-01	8.174746e-05	1.253228e-04	5.958409e-04	4.232433e-04	1.725976e-04
1.27914e-05   	5.518353e-01	2.760136e-01	2.758217e-01	1.283338e+00	1.900705e-01	1.093268e+00	-4.515987e-01	9.593089e-05	1.012622e-04	5.445552e-04	3.735398e-04	1.710154e-04
1.43069e-05   	5.318765e-01	2.660541e-01	2.658224e-01	1.251871e+00	1.880135e-01	1.063858e+00	-4.379222e-01	1.158805e-04	7.108740e-05	4.799546e-04	3.110647e-04	1.688899e-04
