Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1.19998e-06   	6.383548e+02	3.192533e+02	3.191015e+02	1.569321e+03	2.435685e+02	1.325752e+03	-5.410920e+02	7.586726e-02	-2.652943e-02	8.933999e-03	-2.206243e-02	3.099643e-02
2.56341e-06   	-3.374073e+02	-1.687289e+02	-1.686784e+02	-8.290676e+02	-1.288570e+02	-7.002106e+02	2.856768e+02	-2.525283e-02	-6.893796e-03	-5.566024e-02	-3.472392e-02	-2.093633e-02
3.89826e-06   	9.531059e-01	4.802811e-01	4.728248e-01	2.097889e+00	2.647584e-01	1.833131e+00	-7.841864e-01	3.728169e-03	1.144338e-03	1.127022e-02	6.779451e-03	4.490774e-03
5.36997e-06   	5.883194e-01	2.965458e-01	2.917736e-01	1.129335e+00	1.495205e-01	9.798146e-01	-4.151470e-01	2.386099e-03	5.121872e-04	5.393836e-03	3.209105e-03	2.184731e-03
6.81123e-06   	5.918800e-01	2.963428e-01	2.955372e-01	1.223875e+00	1.656387e-01	1.058236e+00	-4.462988e-01	4.028410e-04	1.414539e-04	1.895289e-03	1.089099e-03	8.061907e-04
8.23312e-06   	5.818154e-01	2.904762e-01	2.913393e-01	1.258001e+00	1.771034e-01	1.080898e+00	-4.518972e-01	-4.315336e-04	4.319583e-05	6.449333e-04	3.656625e-04	2.792708e-04
9.6398e-06    	5.663843e-01	2.825774e-01	2.838070e-01	1.260065e+00	1.824365e-01	1.077629e+00	-4.475961e-01	-6.148005e-04	-5.990036e-05	1.287918e-04	4.495531e-06	1.242962e-04
1.10409e-05   	5.505653e-01	2.747144e-01	2.758509e-01	1.251061e+00	1.850513e-01	1.066009e+00	-4.404789e-01	-5.682679e-04	-1.057426e-04	3.403569e-05	-8.872477e-05	1.227605e-04
1.24408e-05   	5.345313e-01	2.667959e-01	2.677353e-01	1.235651e+00	1.857237e-01	1.049927e+00	-4.321018e-01	-4.697059e-04	-1.492491e-04	-6.975793e-06	-1.527370e-04	1.457612e-04
1.38418e-05   	5.191234e-01	2.591438e-01	2.599796e-01	1.218349e+00	1.853566e-01	1.032993e+00	-4.238181e-01	-4.178920e-04	-1.862114e-04	-6.964372e-05	-2.210332e-04	1.513895e-04
1.52466e-05   	5.047578e-01	2.519624e-01	2.527954e-01	1.201330e+00	1.846473e-01	1.016683e+00	-4.160176e-01	-4.164911e-04	-1.948703e-04	-1.014721e-04	-2.456063e-04	1.441343e-04
1.66589e-05   	4.917758e-01	2.454686e-01	2.463072e-01	1.186063e+00	1.839227e-01	1.002140e+00	-4.091087e-01	-4.192811e-04	-2.059806e-04	-1.456641e-04	-2.788127e-04	1.331485e-04
1.80816e-05   	4.791586e-01	2.391703e-01	2.399883e-01	1.170445e+00	1.831163e-01	9.873289e-01	-4.021063e-01	-4.090194e-04	-2.162197e-04	-1.780030e-04	-3.052212e-04	1.272182e-04
1.9516e-05    	4.675880e-01	2.333764e-01	2.342115e-01	1.156300e+00	1.823504e-01	9.739496e-01	-3.957996e-01	-4.175620e-04	-2.216058e-04	-2.092097e-04	-3.262106e-04	1.170009e-04
2.09624e-05   	4.568887e-01	2.280123e-01	2.288764e-01	1.143571e+00	1.816670e-01	9.619040e-01	-3.901185e-01	-4.320569e-04	-2.227953e-04	-2.327988e-04	-3.391947e-04	1.063959e-04
2.24206e-05   	4.466457e-01	2.229038e-01	2.237419e-01	1.131148e+00	1.809895e-01	9.501588e-01	-3.845846e-01	-4.190586e-04	-2.294958e-04	-2.473871e-04	-3.531893e-04	1.058023e-04
2.38905e-05   	4.370697e-01	2.181321e-01	2.189376e-01	1.119543e+00	1.803422e-01	9.392012e-01	-3.794295e-01	-4.027500e-04	-2.404435e-04	-2.686815e-04	-3.747842e-04	1.061027e-04
2.53721e-05   	4.279115e-01	2.135459e-01	2.143656e-01	1.108119e+00	1.796767e-01	9.284425e-01	-3.743829e-01	-4.098221e-04	-2.398799e-04	-2.773415e-04	-3.785507e-04	1.012091e-04
2.6865e-05    	4.194307e-01	2.092888e-01	2.101420e-01	1.097827e+00	1.790776e-01	9.187491e-01	-3.698358e-01	-4.266107e-04	-2.381773e-04	-2.912494e-04	-3.838020e-04	9.255257e-05
2.83682e-05   	4.115302e-01	2.053189e-01	2.062113e-01	1.088477e+00	1.785200e-01	9.099572e-01	-3.657186e-01	-4.461749e-04	-2.355345e-04	-3.068248e-04	-3.889469e-04	8.212211e-05
2.98805e-05   	4.039895e-01	2.015412e-01	2.024483e-01	1.079316e+00	1.779688e-01	9.013477e-01	-3.616894e-01	-4.535711e-04	-2.385882e-04	-3.254990e-04	-4.013376e-04	7.583868e-05
3.14009e-05   	3.968249e-01	1.979622e-01	1.988627e-01	1.070522e+00	1.774362e-01	8.930856e-01	-3.578247e-01	-4.502430e-04	-2.444368e-04	-3.414807e-04	-4.151772e-04	7.369649e-05
3.29286e-05   	3.900198e-01	1.945656e-01	1.954542e-01	1.062083e+00	1.769249e-01	8.851578e-01	-3.541165e-01	-4.442686e-04	-2.522291e-04	-3.579887e-04	-4.312234e-04	7.323469e-05
3.44635e-05   	3.835578e-01	1.913167e-01	1.922411e-01	1.054009e+00	1.764345e-01	8.775746e-01	-3.505701e-01	-4.621665e-04	-2.502248e-04	-3.701640e-04	-4.353068e-04	6.514282e-05
3.60053e-05   	3.776237e-01	1.883402e-01	1.892835e-01	1.046859e+00	1.760004e-01	8.708590e-01	-3.474293e-01	-4.716441e-04	-2.530747e-04	-3.851632e-04	-4.456563e-04	6.049310e-05
3.75541e-05   	3.719704e-01	1.855200e-01	1.864504e-01	1.039985e+00	1.755737e-01	8.644115e-01	-3.444189e-01	-4.652187e-04	-2.593907e-04	-3.956522e-04	-4.572168e-04	6.156464e-05
3.91096e-05   	3.666043e-01	1.828411e-01	1.837631e-01	1.033405e+00	1.751757e-01	8.582293e-01	-3.415268e-01	-4.609976e-04	-2.651853e-04	-4.043963e-04	-4.673834e-04	6.298709e-05
4.06714e-05   	3.614533e-01	1.802567e-01	1.811966e-01	1.027010e+00	1.747793e-01	8.522306e-01	-3.387257e-01	-4.699265e-04	-2.670993e-04	-4.150811e-04	-4.746398e-04	5.955869e-05
4.22392e-05   	3.565218e-01	1.777790e-01	1.787428e-01	1.020815e+00	1.743982e-01	8.464165e-01	-3.360092e-01	-4.819405e-04	-2.683229e-04	-4.262302e-04	-4.814380e-04	5.520781e-05
4.38126e-05   	3.517707e-01	1.753886e-01	1.763821e-01	1.014738e+00	1.740250e-01	8.407134e-01	-3.333442e-01	-4.967427e-04	-2.681906e-04	-4.368315e-04	-4.866064e-04	4.977489e-05
4.5391e-05    	3.472601e-01	1.731200e-01	1.741401e-01	1.008967e+00	1.736739e-01	8.352934e-01	-3.308098e-01	-5.100572e-04	-2.701664e-04	-4.505404e-04	-4.954366e-04	4.489622e-05
4.69743e-05   	3.430147e-01	1.709841e-01	1.720306e-01	1.003628e+00	1.733518e-01	8.302765e-01	-3.284623e-01	-5.232368e-04	-2.717801e-04	-4.620584e-04	-5.028093e-04	4.075086e-05
4.85623e-05   	3.388633e-01	1.689012e-01	1.699621e-01	9.983000e-01	1.730335e-01	8.252665e-01	-3.261165e-01	-5.304986e-04	-2.734069e-04	-4.705574e-04	-5.086856e-04	3.812817e-05
5.01547e-05   	3.348916e-01	1.669036e-01	1.679879e-01	9.932053e-01	1.727313e-01	8.204739e-01	-3.238713e-01	-5.421574e-04	-2.759376e-04	-4.842781e-04	-5.180767e-04	3.379856e-05
5.17513e-05   	3.311000e-01	1.649979e-01	1.661021e-01	9.883436e-01	1.724490e-01	8.158946e-01	-3.217228e-01	-5.521073e-04	-2.786657e-04	-4.955173e-04	-5.264244e-04	3.090706e-05
5.33517e-05   	3.274304e-01	1.631568e-01	1.642736e-01	9.835668e-01	1.721658e-01	8.114010e-01	-3.196176e-01	-5.584048e-04	-2.828855e-04	-5.094345e-04	-5.376027e-04	2.816820e-05
5.49556e-05   	3.239477e-01	1.613991e-01	1.625486e-01	9.790517e-01	1.718994e-01	8.071522e-01	-3.176264e-01	-5.747728e-04	-2.818594e-04	-5.169618e-04	-5.403403e-04	2.337857e-05
5.65625e-05   	3.205974e-01	1.597151e-01	1.608823e-01	9.746628e-01	1.716354e-01	8.030274e-01	-3.156960e-01	-5.836178e-04	-2.842359e-04	-5.266057e-04	-5.475387e-04	2.093303e-05
5.81722e-05   	3.173600e-01	1.580846e-01	1.592754e-01	9.704037e-01	1.713764e-01	7.990274e-01	-3.138255e-01	-5.953928e-04	-2.859620e-04	-5.367164e-04	-5.543202e-04	1.760377e-05
5.9784e-05    	3.142316e-01	1.565184e-01	1.577132e-01	9.662411e-01	1.711183e-01	7.951228e-01	-3.120023e-01	-5.973946e-04	-2.929833e-04	-5.504312e-04	-5.681988e-04	1.776766e-05
6.13977e-05   	3.112661e-01	1.550425e-01	1.562236e-01	9.623248e-01	1.708776e-01	7.914471e-01	-3.102848e-01	-5.905631e-04	-3.018266e-04	-5.600487e-04	-5.818509e-04	2.180226e-05
6.30128e-05   	3.084655e-01	1.536326e-01	1.548329e-01	9.586929e-01	1.706562e-01	7.880366e-01	-3.086902e-01	-6.001653e-04	-3.043881e-04	-5.693762e-04	-5.890762e-04	1.970004e-05
6.4629e-05    	3.057863e-01	1.522894e-01	1.534969e-01	9.552128e-01	1.704450e-01	7.847678e-01	-3.071614e-01	-6.037890e-04	-3.085278e-04	-5.777166e-04	-5.973861e-04	1.966950e-05
6.62462e-05   	3.032521e-01	1.510218e-01	1.522303e-01	9.519670e-01	1.702470e-01	7.817200e-01	-3.057365e-01	-6.042690e-04	-3.144059e-04	-5.856054e-04	-6.072085e-04	2.160316e-05
6.78641e-05   	3.007712e-01	1.497686e-01	1.510025e-01	9.487628e-01	1.700489e-01	7.787139e-01	-3.043325e-01	-6.169406e-04	-3.178185e-04	-5.980990e-04	-6.168680e-04	1.876901e-05
6.94826e-05   	2.984175e-01	1.485856e-01	1.498319e-01	9.457721e-01	1.698655e-01	7.759066e-01	-3.030205e-01	-6.231973e-04	-3.219252e-04	-6.069754e-04	-6.254129e-04	1.843745e-05
7.11016e-05   	2.961625e-01	1.474552e-01	1.487074e-01	9.429163e-01	1.696906e-01	7.732257e-01	-3.017676e-01	-6.261126e-04	-3.265258e-04	-6.147996e-04	-6.339256e-04	1.912597e-05
7.27212e-05   	2.939535e-01	1.463498e-01	1.476037e-01	9.400774e-01	1.695176e-01	7.705598e-01	-3.005211e-01	-6.269107e-04	-3.324680e-04	-6.243204e-04	-6.446282e-04	2.030775e-05
7.43412e-05   	2.917806e-01	1.452509e-01	1.465297e-01	9.372460e-01	1.693391e-01	7.679069e-01	-2.992839e-01	-6.394149e-04	-3.345769e-04	-6.356790e-04	-6.524164e-04	1.673739e-05
7.59614e-05   	2.897226e-01	1.442125e-01	1.455101e-01	9.345992e-01	1.691745e-01	7.654247e-01	-2.981251e-01	-6.487643e-04	-3.369889e-04	-6.437243e-04	-6.588510e-04	1.512671e-05
7.75821e-05   	2.877326e-01	1.432135e-01	1.445191e-01	9.320377e-01	1.690162e-01	7.630215e-01	-2.970026e-01	-6.527774e-04	-3.412754e-04	-6.523949e-04	-6.674728e-04	1.507790e-05
7.9203e-05    	2.858540e-01	1.422601e-01	1.435939e-01	9.296794e-01	1.688747e-01	7.608046e-01	-2.959650e-01	-6.669382e-04	-3.413473e-04	-6.595149e-04	-6.711048e-04	1.158992e-05
8.08241e-05   	2.840459e-01	1.413475e-01	1.426984e-01	9.274361e-01	1.687411e-01	7.586950e-01	-2.949769e-01	-6.754622e-04	-3.439277e-04	-6.667538e-04	-6.773046e-04	1.055079e-05
8.24455e-05   	2.822657e-01	1.404377e-01	1.418280e-01	9.251788e-01	1.686034e-01	7.565754e-01	-2.939860e-01	-6.951241e-04	-3.419292e-04	-6.732888e-04	-6.785736e-04	5.284847e-06
8.40672e-05   	2.805793e-01	1.395841e-01	1.409952e-01	9.230902e-01	1.684781e-01	7.546121e-01	-2.930670e-01	-7.055713e-04	-3.443529e-04	-6.836844e-04	-6.861950e-04	2.510683e-06
8.5689e-05    	2.789228e-01	1.387538e-01	1.401690e-01	9.209896e-01	1.683485e-01	7.526411e-01	-2.921463e-01	-7.075971e-04	-3.474411e-04	-6.881924e-04	-6.915373e-04	3.344878e-06
8.73111e-05   	2.772772e-01	1.379333e-01	1.393439e-01	9.188508e-01	1.682108e-01	7.506400e-01	-2.912146e-01	-7.053037e-04	-3.523243e-04	-6.941188e-04	-6.993838e-04	5.264919e-06
8.89333e-05   	2.756679e-01	1.371119e-01	1.385561e-01	9.167567e-01	1.680758e-01	7.486809e-01	-2.903026e-01	-7.221233e-04	-3.518096e-04	-7.033826e-04	-7.035009e-04	1.182985e-07
